Rank,ISSN,Journal Title,Medline %,FreeFull %,ORCID %,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,API_Ref
59,2073-4360,Polymers (Basel),0.00,1.00,0.89,897,306,238,235,118,,,,,,,,,A60:S60
60,1936-086X,ACS Nano,0.38,0.18,1.00,891,223,262,212,194,,,,,,,,,A61:S61
61,1096-0953,Environ Res,0.54,0.19,0.00,886,231,198,239,218,,,,,,,,,A62:S62
62,1664-0640,Front Psychiatry,0.00,0.97,0.00,882,183,234,279,186,,,,,,,,,A63:S63
63,1520-510X,Inorg Chem,0.07,0.15,1.00,867,213,195,236,223,,,,,,,,,A64:S64
64,1472-6831,BMC Oral Health,0.16,0.99,0.32,866,193,197,214,262,,,,,,,,,A65:S65
65,1463-9084,Phys Chem Chem Phys,0.11,0.04,0.98,835,219,202,215,199,,,,,,,,,A66:S66
66,2052-4463,Sci Data,0.40,1.00,0.69,827,172,232,217,206,,,,,,,,,A67:S67
67,1756-1833,BMJ,0.06,0.07,0.09,822,212,200,208,202,,,,,,,,,A68:S68
68,1539-4522,Appl Opt,0.03,0.00,0.00,821,,,696,125,,,,,,,,,A69:S69
69,1471-2229,BMC Plant Biol,0.18,0.99,0.13,816,201,213,193,209,,,,,,,,,A70:S70
70,2297-055X,Front Cardiovasc Med,0.00,0.97,0.00,804,156,196,246,206,,,,,,,,,A71:S71
71,1472-6920,BMC Med Educ,0.16,0.99,0.34,786,185,212,166,223,,,,,,,,,A72:S72
72,1873-6297,Acta Psychol (Amst),0.98,1.00,0.00,783,212,186,193,192,,,,,,,,,A73:S73
73,1094-4087,Opt Express,0.02,1.00,0.00,782,,522,260,,,,,,,,,,A74:S74
74,2050-0904,Clin Case Rep,0.00,0.95,0.98,782,188,169,123,302,,,,,,,,,A75:S75
75,1089-7690,J Chem Phys,0.06,0.02,1.00,775,174,210,196,195,,,,,,,,,A76:S76
76,1534-4681,Ann Surg Oncol,0.16,0.07,0.42,760,171,195,215,179,,,,,,,,,A77:S77
77,2666-0849,JACC Case Rep,0.00,1.00,0.00,758,168,106,278,206,,,,,,,,,A78:S78
78,2045-7758,Ecol Evol,0.00,0.94,0.96,753,192,168,87,306,,,,,,,,,A79:S79
79,2073-4409,Cells,0.91,0.89,0.95,740,212,174,185,169,,,,,,,,,A80:S80
80,2227-9059,Biomedicines,0.00,1.00,0.96,736,256,233,247,,,,,,,,,,A81:S81
81,1873-2976,Bioresour Technol,0.96,0.12,0.00,735,189,160,195,191,,,,,,,,,A82:S82
82,2050-7283,BMC Psychol,0.18,0.99,0.31,729,147,179,201,202,,,,,,,,,A83:S83
83,2076-2607,Microorganisms,0.00,1.00,0.91,727,261,253,213,,,,,,,,,,A84:S84
84,1095-7103,J Colloid Interface Sci,0.15,0.09,0.00,726,192,169,174,191,,,,,,,,,A85:S85
85,1573-2517,J Affect Disord,0.95,0.36,0.00,724,180,207,175,162,,,,,,,,,A86:S86
86,2730-6011,Discov Oncol,0.00,0.63,0.13,712,170,174,178,190,,,,,,,,,A87:S87
87,2399-3642,Commun Biol,0.61,0.99,0.99,701,193,140,172,196,,,,,,,,,A88:S88
88,2297-1769,Front Vet Sci,0.00,0.97,0.00,693,145,195,185,168,,,,,,,,,A89:S89
89,1530-6992,Nano Lett,0.15,0.18,1.00,693,175,165,157,196,,,,,,,,,A90:S90
90,2041-6520,Chem Sci,0.00,0.98,0.96,688,205,176,165,142,,,,,,,,,A91:S91
91,2693-5015,Res Sq,0.00,0.93,0.46,677,127,319,55,176,,,,,,,,,A92:S92
92,2040-3372,Nanoscale,0.16,0.04,0.99,668,153,203,145,167,,,,,,,,,A93:S93
93,1095-9203,Science,0.44,0.05,0.43,667,182,152,149,184,,,,,,,,,A94:S94
94,2398-8835,Health Sci Rep,0.00,0.97,0.98,666,92,98,108,368,,,,,,,,,A95:S95
95,2079-7737,Biology (Basel),0.00,0.89,0.90,662,206,164,147,145,,,,,,,,,A96:S96
96,1472-6963,BMC Health Serv Res,0.13,0.99,0.28,658,154,153,195,156,,,,,,,,,A97:S97
97,2167-8359,PeerJ,1.00,0.96,0.12,650,132,187,175,156,,,,,,,,,A98:S98
98,1471-2318,BMC Geriatr,0.17,1.00,0.23,650,137,176,171,166,,,,,,,,,A99:S99
99,1525-3171,Poult Sci,0.39,1.00,0.00,635,171,166,167,131,,,,,,,,,A100:S100
100,1879-2448,Water Res,0.97,0.15,0.00,631,157,144,167,163,,,,,,,,,A101:S101
